"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CROT",-0.225420127858684,-0.00464521563689868,-1.68322654221901,0.0923312990542213,0.109602740371255,-5.80781539809355
"WASF1",0.225242512311851,0.00102016019520845,1.68190027554717,0.0925882338368812,0.109896175297868,-5.81003514165214
"SDK1",0.225235383433841,0.00990856257058173,1.68184704375817,0.0925985582878061,0.109896868955645,-5.81012419801194
"HBQ1",0.225167412277354,-0.00600417690053677,1.68133949877632,0.0926970444548061,0.110002182644465,-5.81097317517332
"MYBPC1",0.225103983299884,0.00384734689255652,1.68086587053629,0.0927890251127115,0.11009975500544,-5.81176518822624
"CD79B",-0.225094624172887,0.0112688879027345,-1.68079598533517,0.0928026033228708,0.110104287412403,-5.81188203312544
"KCNQ2",0.225013281340581,0.00784925147684208,1.68018859319296,0.092920682593276,0.110232789580479,-5.81289736074773
"ERGIC1",0.224988857597455,-0.00648905801279558,1.68000621953768,0.0929561602352192,0.110263283845036,-5.81320214819198
"SLC23A1",-0.224752191398439,-0.0118357621891574,-1.67823901786136,0.0933005021691754,0.110660103644992,-5.81615382657608
"MERTK",0.224673007930491,-8.68092212946122e-05,1.6776477498312,0.0934159398893266,0.11078537416137,-5.81714070171516
"PHF1",-0.224390967829941,0.00714757400365458,-1.67554173832405,0.0938280436758578,0.111262408491298,-5.82065298347549
"KCTD4",-0.224308139532622,0.00224089511418502,-1.67492325411938,0.0939493450842294,0.111394541885809,-5.82168361686876
"IRAK1BP1",0.224205219057911,0.0085167933865733,1.6741547403384,0.0941002465101385,0.111561740188494,-5.82296372729206
"CALB2",-0.223809242681087,0.00366115682984079,-1.67119795935396,0.0946826379045795,0.112240408014012,-5.82788334754936
"TNFRSF13C",0.223767306922479,0.00186485158460999,1.67088482235671,0.0947444846717353,0.112301924629813,-5.82840384918449
"MRPL54",-0.223468481270903,0.00637479080212501,-1.66865347206423,0.0951861298350291,0.112813561231999,-5.83211001370772
"FRMD4A",0.223368531944219,0.00881144568094422,1.66790714403598,0.095334216009889,0.112977203995334,-5.83334852304033
"KRTAP10-2",0.223171050667803,-0.00428214351347075,1.66643253868813,0.0956273491449758,0.113312684352317,-5.83579395823457
"ZNF287",-0.222974196652054,0.00814137308665913,-1.66496261713587,0.0959202689765885,0.113647841527129,-5.83822947329843
"PRDM5",-0.222791505723461,0.0150069074077985,-1.66359845226315,0.0961927561902098,0.113958721975445,-5.84048783710053
"SNCAIP",0.222763669585908,-0.0019566869391278,1.66339059803999,0.0962343286808493,0.113996003202732,-5.84083177555623
"SCEL",0.222585569594874,0.00899880764240165,1.66206071399225,0.0965006563947832,0.114299486258906,-5.8430313308439
"OR4X2",0.222472694709937,0.00192222481148869,1.66121786999211,0.096669752642669,0.114487752604937,-5.8444244378007
"EGR3",-0.222138360438077,0.0108696812402767,-1.65872137455617,0.0971720050409862,0.115070500931722,-5.848546660259
"EXOC7",0.221944996854391,-0.00385791248390801,1.65727751628384,0.0974634356502485,0.11539787299519,-5.8509279347218
"AXL",0.221941367996148,0.0072808194402457,1.65725041936676,0.0974689116054383,0.11539787299519,-5.85097260432335
"KCNC1",0.221760397710745,-0.00446066598703593,1.65589910264701,0.0977423082360725,0.11570941809124,-5.85319934016081
"NIPSNAP3B",-0.22161688873663,0.00414545892292981,-1.6548275119396,0.097959546426203,0.115954423240332,-5.85496384466557
"IGSF21",0.221441345705132,-0.0148483473638446,1.6535167208726,0.0982258008208303,0.116257391236906,-5.85712066851443
"FCRL1",0.221357425535758,0.010950867099194,1.65289008358932,0.0983532905559723,0.116388576746302,-5.85815115672905
"PRNP",-0.221354807354903,0.0103664184784638,-1.65287053346507,0.0983572701653809,0.116388576746302,-5.85818330010115
"CYP1B1",-0.221289850710676,0.0117910382613023,-1.65238549803946,0.0984560448120763,0.11649324178006,-5.85898065024758
"OR8S1",0.221230595399419,0.007532383563073,1.65194303483256,0.0985462189472239,0.116587709801985,-5.85970781177925
"CAMK2D",0.221196413224374,-0.000440370744755133,1.65168779434071,0.0985982670226698,0.116637056701277,-5.86012719552625
"FBXL5",-0.22082915708955,0.00957949430479975,-1.64894546924401,0.0991588617045689,0.117287916617324,-5.8646290009787
"UPK3B",0.220624808369466,0.00266296978550739,1.64741958425414,0.0994718875863269,0.117645839374898,-5.86713065712046
"SAMD11",-0.22060981341886,0.00585132004836875,-1.64730761599691,0.0994948881951741,0.117660708888602,-5.86731413549852
"ASCC2",0.220496471860994,-0.00707687316955959,1.6464612873201,0.0996688789790603,0.11785411460079,-5.86870058065279
"SLC12A6",0.220471950725242,-0.00106979230598136,1.64627818642785,0.0997065533240915,0.117880038210274,-5.86900044051922
"NPR2",0.220468603001169,0.000314600916900996,1.64625318875764,0.0997116976583229,0.117880038210274,-5.86904137600692
"PODN",-0.220440220133936,0.00755401655969602,-1.64604125206891,0.0997553211561983,0.117918422085752,-5.86938841264374
"DNAJB1",0.220425235009441,0.000161280521641761,1.64592935718389,0.099778358920164,0.117918422085752,-5.86957161737961
"XKRX",0.220423904341865,-0.0141013168159297,1.64591942100382,0.099780404861078,0.117918422085752,-5.86958788521773
"HIGD1A",-0.220420285232617,0.00124843032776124,-1.64589239688311,0.0997859695182804,0.117918422085752,-5.86963212949291
"HOXA6",0.220290437896969,-0.0142847786305804,1.64492281850572,0.0999857835257098,0.118142171486081,-5.87121905642554
"CPEB4",-0.220049369906821,0.0162297567553862,-1.64312274837289,0.100357594044397,0.118569082052663,-5.87416278501728
"EFHD1",-0.219895031995933,0.00177741093199685,-1.64197029730056,0.100596214815639,0.118838560544953,-5.87604574323698
